time	Light
09:39	1
09:39	2
09:39	0
09:39	1
09:40	0
09:40	0
09:40	2
09:40	2
09:40	2
09:41	4
09:41	0
09:41	1
09:41	1
09:41	2
09:42	1
09:42	10
09:42	3
09:42	0
09:42	0
09:42	1
09:43	1
09:43	0
09:43	2
09:43	1
09:43	1
09:44	4
09:44	1
09:44	2
09:44	2
09:44	3
09:45	1
09:45	5
09:45	2
09:45	4
09:45	2
09:46	4
09:46	0
09:46	2
09:46	2
09:46	0
09:47	2
09:47	0
09:47	1
09:47	0
09:47	2
09:48	1
09:48	2
09:48	11
09:48	1
09:48	2
09:49	0
09:49	2
09:49	2
09:49	1
09:49	1
09:50	2
09:50	2
09:50	0
09:50	4
09:50	1
09:51	2
09:51	2
09:51	1
09:51	0
09:51	2
09:51	0
09:52	2
09:52	2
09:52	2
09:52	3
09:52	1
09:53	2
09:53	0
09:53	2
09:53	0
09:54	4
09:54	2
09:54	2
09:54	2
09:54	4
09:55	0
09:55	1
09:55	0
09:55	2
09:55	0
09:56	3
09:56	3
09:56	5
09:56	1
09:56	4
09:57	0
09:57	2
09:57	1
09:57	2
09:57	1
09:58	2
09:58	2
09:58	0
09:58	3
09:58	2
09:59	2
09:59	0
09:59	0
09:59	2
09:59	7
09:59	2
10:00	2
10:00	3
10:00	5
10:00	1
10:00	2
10:01	3
10:01	2
10:01	5
10:01	1
10:01	4
10:02	2
10:02	4
10:02	2
10:02	2
10:02	4
10:03	1
10:03	2
10:03	1
10:03	3
10:03	2
10:04	0
10:04	3
10:04	4
10:04	2
10:04	2
10:05	5
10:05	3
10:05	2
10:05	2
10:05	2
10:06	9
10:06	1
10:06	2
10:06	2
10:06	1
10:07	2
10:07	1
10:07	2
10:07	2
10:07	2
10:07	2
10:08	3
10:08	2
10:08	1
10:08	0
10:08	2
10:09	2
10:09	2
10:09	3
10:09	1
10:09	2
10:10	2
10:10	5
10:10	2
10:10	2
10:10	2
10:11	3
10:11	2
10:11	2
10:11	3
10:11	2
10:12	2
10:12	2
10:12	2
10:12	1
10:12	4
10:13	2
10:13	4
10:13	0
10:13	2
10:13	2
10:14	2
10:14	2
10:14	2
10:14	3
10:14	3
10:15	3
10:15	4
10:15	0
10:15	3
10:15	0
10:16	3
10:16	5
10:16	1
10:16	3
10:16	2
10:16	0
10:17	3
10:17	7
10:17	3
10:17	1
10:17	3
10:18	5
10:18	3
10:18	2
10:18	2
10:18	1
10:19	2
10:19	0
10:19	3
10:19	1
10:19	3
10:20	1
10:20	3
10:20	2
10:20	2
10:20	2
10:21	2
10:21	2
10:21	3
10:21	7
10:21	2
10:22	2
10:22	2
10:22	3
10:22	0
10:22	6
10:23	1
10:23	2
10:23	3
10:23	0
10:23	2
10:24	1
10:24	2
10:24	2
10:24	2
10:24	2
10:24	2
10:25	0
10:25	11
10:25	1
10:25	1
10:25	2
10:26	1
10:26	0
10:26	4
10:26	1
10:26	1
10:27	2
10:27	1
10:27	3
10:27	1
10:27	4
10:28	1
10:28	2
10:28	1
10:28	1
10:28	1
10:29	1
10:29	2
10:29	6
10:29	2
10:30	2
10:30	1
10:30	2
10:30	0
10:30	2
10:31	1
10:31	0
10:31	0
10:31	2
10:31	1
10:32	1
10:32	2
10:32	2
10:32	1
